taxon,W,pval,qval,sig
t__SGB14306,-4.29580249438152,2.12870726132228e-05,5.86398604062365e-05,TRUE
t__SGB4715,1.94607814810325,0.052404147818147,0.0748622739090142,FALSE
t__SGB1862,0.937660218824409,0.348890601228517,0.407504222234908,FALSE
t__SGB4365,13.9063654774866,6.9648463208831e-29,3.69770022854157e-27,TRUE
t__SGB14334,3.68300891243154,0.000320459542358663,0.000708895351278255,TRUE
t__SGB4575,0.755468600102036,0.450122431989721,0.508455513117983,FALSE
t__SGB6956,2.90359178060214,0.00387427467515154,0.00691919391525535,TRUE
t__SGB6139,0.60754620079551,0.543931840693513,0.605059418980974,FALSE
t__SGB15107,0.258759786024143,0.796099231688392,0.827263258551639,FALSE
t__SGB1815,2.03262471204963,0.0423607403341662,0.0620016851006342,FALSE
t__SGB4262,5.43398722919668,7.24884849738925e-08,3.20706630490555e-07,TRUE
t__SGB1871,-0.612191375447704,0.540521166164486,0.602412902748206,FALSE
t__SGB6754,2.13751413693097,0.0328359897388629,0.0487944478562238,TRUE
t__SGB4882,3.55078755567234,0.000472683625325566,0.0010001711492396,TRUE
t__SGB4198,-1.72475646515798,0.0851163302434292,0.113229924515177,FALSE
t__SGB5043,2.7199155455028,0.00678037675595942,0.0113785632916101,TRUE
t__SGB8601,2.32031690557688,0.0215866826489292,0.033175322807828,TRUE
t__SGB4964,2.44943219901872,0.0146415168761244,0.0232354506947191,TRUE
t__SGB4886,-6.45411310254952,1.05645450895173e-09,7.01101628667963e-09,TRUE
t__SGB6340,9.16921907719093,7.43558486972365e-17,1.24068044683389e-15,TRUE
t__SGB1949,-1.66150869225967,0.0969109770656787,0.127468492356658,FALSE
t__SGB5792,-0.0372613241163698,0.970286325889522,0.971950624904769,FALSE
t__SGB4871,6.07430238197036,2.0308364451979e-09,1.26171115318678e-08,TRUE
t__SGB15342,5.64882012920047,2.02332348157011e-08,1.00993240447602e-07,TRUE
t__SGB14253,5.595606824563,6.2508897412372e-08,2.8039760398954e-07,TRUE
t__SGB3989,-7.60267714868863,1.27505370676697e-12,1.220707155331e-11,TRUE
t__SGB5062,6.14903417746383,6.65301016300692e-09,3.84688904474855e-08,TRUE
t__SGB4813,0.133694179260776,0.8936935800527,0.904535616552473,FALSE
t__SGB4837,2.81600850151553,0.00493243685224884,0.00857304500509918,TRUE
t__SGB6141,7.08361244191438,2.34276190905927e-11,2.01201905130972e-10,TRUE
t__SGB1784,-5.70804669801554,1.74800221563562e-08,8.87681125157565e-08,TRUE
