	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
t__SGB33559	5	2	0.0058850995275904	0.000658200125740001	3.0709288739863	0.500810705344787	32.3440380414919	0.254170262383439	0.638426541085257	-2.01735677937912	1.68297837185377	0.230651412035321	0.591654493762811
t__SGB4697	8	5	0.00589440172176183	0.0012229006109704	1.96756266621332	0.564452662674319	7.68164672563117	0.269541757057395	0.661982243474565	-2.01420235112717	1.11982145539106	0.0720690464478231	0.397986816187487
t__SGB1787	13	7	0.00825830030824061	0.00176599997869006	2.29536307898905	0.845363016075574	6.83478830347413	0.0749386916789928	0.338756986981294	-2.01362279639726	1.01066145271869	0.046329257334589	0.315604963426352
t__SGB1974	14	4	0.0411117919749317	0.00119140019819001	4.34701864867816	1.35667765528022	18.214857298586	0.00706767894125293	0.0688698423692964	-2.01076663477355	1.26781808337999	0.11273802943744	0.498650105353818
t__SGB1667	9	13	0.0060079988977609	0.0797754004952349	0.844731887796318	0.316575729352695	2.15132202356505	0.830037285051402	1	2.01026069205844	0.805934873988239	0.0126198178404142	0.141257514934897
t__SGB15099	6	11	0.00595940456327362	0.107186580168607	0.664282001212417	0.200606324552213	1.97187332548804	0.471217991633658	0.832162681999381	2.0042002187359	1.21744661271947	0.0997158940768759	0.469866286487439
t__SGB14211	4	7	9.72000024000167e-05	0.00316970001113005	0.697240126728174	0.14902155779644	2.75645073929858	0.763145813656461	1	1.99588726705895	1.3313235964086	0.13382819706031	0.52667403044775
t__SGB6541	3	8	0.0028668011233111	0.0435599100659657	0.456434407755923	0.0776840228648194	1.91115920429115	0.363117873692177	0.778737833110502	1.99550865005151	1.53225132325514	0.192800972548525	0.591654493762811
t__SGB4368	5	6	0.003004399083461	0.021664606569657	1.01934782305758	0.244942804227913	4.02858875145716	1	1	1.98919606410933	1.08403342876132	0.0665064108263071	0.387521611833726
t__SGB6273	5	10	0.00549190228087122	0.0319902839582685	0.608793888806393	0.162451910600987	1.96635053521016	0.440267319954852	0.815057116278193	1.98420345522676	1.03597369750496	0.0554538825296642	0.349313055014266
